Course Name,Level,Duration,Rating,Course Link
Google Professional Workspace Administrator,Beginner ,1 - 3 Months,4.7,https://www.coursera.org/professional-certificates/g-suite-administration
Google Project Management:,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/google-project-management
Google IT Support,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/google-it-support
Google Cybersecurity,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/google-cybersecurity
IBM Full Stack Software Developer,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
IBM AI Engineering,Intermediate ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/ai-engineer
IBM Data Analyst,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/ibm-data-analyst
Google Digital Marketing & E-commerce,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
Google Data Analytics,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/google-data-analytics
Google UX Design,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/google-ux-design
SAP Technology Consultant,Beginner ,3 - 6 Months,4.7,https://www.coursera.org/professional-certificates/sap-technology-consultant
Meta Social Media Marketing,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/facebook-social-media-marketing
HRCI Human Resource Associate,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/hrci-human-resource-associate
Google IT Automation with Python,Beginner ,3 - 6 Months,4.7,https://www.coursera.org/professional-certificates/google-it-automation
IBM Applied AI,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
Microsoft Power BI Data Analyst,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
Meta Back-End Developer,Beginner ,3 - 6 Months,4.7,https://www.coursera.org/professional-certificates/meta-back-end-developer
Google Business Intelligence,Advanced ,3 - 6 Months,4.7,https://www.coursera.org/professional-certificates/google-business-intelligence
Tableau Business Intelligence Analyst,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst
Meta Front-End Developer,Beginner ,3 - 6 Months,4.7,https://www.coursera.org/professional-certificates/meta-front-end-developer
Preparing for Google Cloud Certification: Machine Learning Engineer,Intermediate ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate
SAS Programmer,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/sas-programming
Salesforce Sales Development Representative,Beginner ,3 - 6 Months,4.5,https://www.coursera.org/professional-certificates/sales-development-representative
IBM DevOps and Software Engineering,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/devops-and-software-engineering
Google Advanced Data Analytics,Advanced ,3 - 6 Months,4.7,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
Microsoft Azure Data Scientist Associate (DP-100),Intermediate ,3 - 6 Months,4.4,https://www.coursera.org/professional-certificates/azure-data-scientist
Microsoft Cybersecurity Analyst,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst
Preparing for Google Cloud Certification: Cloud Data Engineer,Intermediate ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/gcp-data-engineering
IBM Data Science,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/ibm-data-science
IBM Cybersecurity Analyst,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
AWS Cloud Solutions Architect,Intermediate ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect
IBM z/OS Mainframe Practitioner,Intermediate ,1 - 3 Months,4.7,https://www.coursera.org/professional-certificates/ibm-z-mainframe
IBM IT Scrum Master,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/ibm-it-scrum-master
IBM Project Manager,Beginner ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/ibm-project-manager
SAS Advanced Programmer,Intermediate ,3 - 6 Months,4.8,https://www.coursera.org/professional-certificates/sas-advanced-programmer
Meta Database Engineer,Beginner ,3 - 6 Months,4.6,https://www.coursera.org/professional-certificates/meta-database-engineer
Microsoft Azure Data Engineering Associate (DP-203),Intermediate ,3 - 6 Months,4.4,https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering
Google Data Analytics (PT),Beginner ,3 - 6 Months,4.9,https://www.coursera.org/professional-certificates/analise-de-dados-do-google
Preparing for Google Cloud Certification: Cloud DevOps Engineer,Beginner ,3 - 6 Months,4.7,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud
Fractal Data Science,Beginner ,3 - 6 Months,4.1,https://www.coursera.org/professional-certificates/fractal-data-science
